match_id,date,winner_team_id
G_A_1,2024-06-14,
G_A_2,2024-06-15,
G_A_3,2024-06-19,
G_A_4,2024-06-19,
G_A_5,2024-06-23,
G_A_6,2024-06-23,
G_B_1,2024-06-15,
G_B_2,2024-06-15,
G_B_3,2024-06-19,
G_B_4,2024-06-20,
G_B_5,2024-06-24,
G_B_6,2024-06-24,
G_C_1,2024-06-16,
G_C_2,2024-06-16,
G_C_3,2024-06-20,
G_C_4,2024-06-20,
G_C_5,2024-06-25,
G_C_6,2024-06-25,
G_D_1,2024-06-16,
G_D_2,2024-06-17,
G_D_3,2024-06-21,
G_D_4,2024-06-21,
G_D_5,2024-06-25,
G_D_6,2024-06-25,
G_E_1,2024-06-17,
G_E_2,2024-06-17,
G_E_3,2024-06-21,
G_E_4,2024-06-22,
G_E_5,2024-06-26,
G_E_6,2024-06-26,
G_F_1,2024-06-18,
G_F_2,2024-06-18,
G_F_3,2024-06-22,
G_F_4,2024-06-22,
G_F_5,2024-06-26,
G_F_6,2024-06-26,
M1,2024-06-29,
M2,2024-06-29,
M3,2024-06-30,
M4,2024-06-30,
M5,2024-07-01,
M6,2024-07-01,POR
M7,2024-07-02,
M8,2024-07-02,
M9,2024-07-05,
M10,2024-07-05,FRA
M11,2024-07-06,ENG
M12,2024-07-06,
M13,2024-07-09,
M14,2024-07-10,
M15,2024-07-14,
