match_id,stage,group,home_ref,away_ref,kickoff_utc,venue_country
G_A_1,GROUP,A,GER,SCO,2024-06-14T19:00:00Z,GER
G_A_2,GROUP,A,HUN,SUI,2024-06-15T13:00:00Z,GER
G_A_3,GROUP,A,GER,HUN,2024-06-19T16:00:00Z,GER
G_A_4,GROUP,A,SCO,SUI,2024-06-19T19:00:00Z,GER
G_A_5,GROUP,A,SUI,GER,2024-06-23T19:00:00Z,GER
G_A_6,GROUP,A,SCO,HUN,2024-06-23T19:00:00Z,GER
G_B_1,GROUP,B,ESP,CRO,2024-06-15T16:00:00Z,GER
G_B_2,GROUP,B,ITA,ALB,2024-06-15T19:00:00Z,GER
G_B_3,GROUP,B,CRO,ALB,2024-06-19T13:00:00Z,GER
G_B_4,GROUP,B,ESP,ITA,2024-06-20T19:00:00Z,GER
G_B_5,GROUP,B,CRO,ITA,2024-06-24T19:00:00Z,GER
G_B_6,GROUP,B,ALB,ESP,2024-06-24T19:00:00Z,GER
G_C_1,GROUP,C,SRB,ENG,2024-06-16T19:00:00Z,GER
G_C_2,GROUP,C,SVN,DEN,2024-06-16T16:00:00Z,GER
G_C_3,GROUP,C,SVN,SRB,2024-06-20T13:00:00Z,GER
G_C_4,GROUP,C,DEN,ENG,2024-06-20T16:00:00Z,GER
G_C_5,GROUP,C,ENG,SVN,2024-06-25T19:00:00Z,GER
G_C_6,GROUP,C,DEN,SRB,2024-06-25T19:00:00Z,GER
G_D_1,GROUP,D,POL,NED,2024-06-16T13:00:00Z,GER
G_D_2,GROUP,D,AUT,FRA,2024-06-17T19:00:00Z,GER
G_D_3,GROUP,D,POL,AUT,2024-06-21T16:00:00Z,GER
G_D_4,GROUP,D,NED,FRA,2024-06-21T19:00:00Z,GER
G_D_5,GROUP,D,NED,AUT,2024-06-25T16:00:00Z,GER
G_D_6,GROUP,D,FRA,POL,2024-06-25T16:00:00Z,GER
G_E_1,GROUP,E,ROU,UKR,2024-06-17T13:00:00Z,GER
G_E_2,GROUP,E,BEL,SVK,2024-06-17T16:00:00Z,GER
G_E_3,GROUP,E,SVK,UKR,2024-06-21T13:00:00Z,GER
G_E_4,GROUP,E,BEL,ROU,2024-06-22T19:00:00Z,GER
G_E_5,GROUP,E,SVK,ROU,2024-06-26T16:00:00Z,GER
G_E_6,GROUP,E,UKR,BEL,2024-06-26T16:00:00Z,GER
G_F_1,GROUP,F,TUR,GEO,2024-06-18T16:00:00Z,GER
G_F_2,GROUP,F,POR,CZE,2024-06-18T19:00:00Z,GER
G_F_3,GROUP,F,GEO,CZE,2024-06-22T13:00:00Z,GER
G_F_4,GROUP,F,TUR,POR,2024-06-22T16:00:00Z,GER
G_F_5,GROUP,F,CZE,TUR,2024-06-26T19:00:00Z,GER
G_F_6,GROUP,F,GEO,POR,2024-06-26T19:00:00Z,GER
M1,R16,,GER,DEN,2024-06-29T19:00:00Z,GER
M2,R16,,SUI,ITA,2024-06-29T16:00:00Z,GER
M3,R16,,ESP,GEO,2024-06-30T19:00:00Z,GER
M4,R16,,ENG,SVK,2024-06-30T16:00:00Z,GER
M5,R16,,FRA,BEL,2024-07-01T16:00:00Z,GER
M6,R16,,POR,SVN,2024-07-01T19:00:00Z,GER
M7,R16,,ROU,NED,2024-07-02T16:00:00Z,GER
M8,R16,,AUT,TUR,2024-07-02T19:00:00Z,GER
M9,QF,,ESP,GER,2024-07-05T16:00:00Z,GER
M10,QF,,POR,FRA,2024-07-05T19:00:00Z,GER
M11,QF,,ENG,SUI,2024-07-06T16:00:00Z,GER
M12,QF,,NED,TUR,2024-07-06T19:00:00Z,GER
M13,SF,,ESP,FRA,2024-07-09T19:00:00Z,GER
M14,SF,,NED,ENG,2024-07-10T19:00:00Z,GER
M15,FINAL,,ESP,ENG,2024-07-14T19:00:00Z,GER
