match_id,home_goals,away_goals,winner_team_id
G_A_1,0,1,
G_A_2,1,2,
G_A_3,2,1,
G_A_4,2,0,
G_A_5,1,1,
G_A_6,4,3,
G_B_1,0,1,
G_B_2,5,0,
G_B_3,6,2,
G_B_4,1,1,
G_B_5,1,3,
G_B_6,1,2,
G_C_1,0,1,
G_C_2,2,0,
G_C_3,2,1,
G_C_4,0,3,
G_C_5,4,1,
G_C_6,3,2,
G_D_1,2,1,
G_D_2,0,3,
G_D_3,4,0,
G_D_4,4,1,
G_D_5,6,1,
G_D_6,2,5,
M1,1,2,ITA
M2,2,2,ENG
M3,2,0,ESP
M4,1,1,GER
M5,1,2,ENG
M6,1,0,ESP
M7,1,1,ENG
