match_id,date,winner_team_id
G_A_1,2026-06-11,
G_A_2,2026-06-11,
G_B_1,2026-06-12,
G_B_2,2026-06-13,
G_C_1,2026-06-13,
G_C_2,2026-06-13,
G_D_1,2026-06-12,
G_D_2,2026-06-13,
G_E_1,2026-06-14,
G_E_2,2026-06-14,
G_F_1,2026-06-14,
G_F_2,2026-06-14,
G_H_1,2026-06-15,
G_G_1,2026-06-15,
G_G_2,2026-06-15,
G_H_2,2026-06-15,
G_I_1,2026-06-16,
G_I_2,2026-06-16,
G_J_1,2026-06-16,
G_J_2,2026-06-16,
G_K_1,2026-06-17,
G_L_1,2026-06-17,
G_L_2,2026-06-17,
G_K_2,2026-06-17,
G_A_3,2026-06-18,
G_A_4,2026-06-18,
G_B_4,2026-06-18,
G_B_3,2026-06-18,
G_C_3,2026-06-19,
G_C_4,2026-06-19,
G_D_3,2026-06-19,
G_D_4,2026-06-19,
G_E_3,2026-06-20,
G_E_4,2026-06-20,
G_F_3,2026-06-20,
G_F_6,2026-06-20,
G_G_3,2026-06-21,
G_G_4,2026-06-21,
G_H_3,2026-06-21,
G_H_4,2026-06-21,
G_I_3,2026-06-22,
G_I_4,2026-06-22,
G_J_3,2026-06-22,
G_J_4,2026-06-22,
G_K_3,2026-06-23,
G_K_4,2026-06-23,
G_L_3,2026-06-23,
G_L_4,2026-06-23,
G_A_5,2026-06-24,
G_A_6,2026-06-24,
G_B_5,2026-06-24,
G_B_6,2026-06-24,
G_C_5,2026-06-24,
G_C_6,2026-06-24,
G_D_5,2026-06-25,
G_D_6,2026-06-25,
G_E_5,2026-06-25,
G_E_6,2026-06-25,
G_F_4,2026-06-25,
G_F_5,2026-06-25,
G_G_5,2026-06-26,
G_G_6,2026-06-26,
G_H_5,2026-06-26,
G_H_6,2026-06-26,
G_I_5,2026-06-26,
G_I_6,2026-06-26,
G_J_5,2026-06-27,
G_J_6,2026-06-27,
G_K_5,2026-06-27,
G_K_6,2026-06-27,
G_L_5,2026-06-27,
G_L_6,2026-06-27,
M73,2026-06-28,
M74,2026-06-29,PAR
M75,2026-06-30,MAR
M76,2026-06-29,
M77,2026-06-30,
M78,2026-06-30,
M79,2026-07-01,
M80,2026-07-01,
M81,2026-07-02,
M82,2026-07-01,
M83,2026-07-02,
M84,2026-07-02,
M85,2026-07-03,
M86,2026-07-03,
M87,2026-07-04,
M88,2026-07-03,EGY
M89,2026-07-04,
M90,2026-07-04,
M91,2026-07-05,
M92,2026-07-06,
M93,2026-07-06,
M94,2026-07-07,
M95,2026-07-07,
M96,2026-07-07,SUI
M97,2026-07-09,
