match_id,odds_home,odds_draw,odds_away
M77,1.30,6.42,13.27
M78,3.79,3.53,2.21
M79,2.31,3.00,4.28
M80,1.31,5.74,15.46
M81,1.39,5.38,10.47
M83,1.84,3.65,5.43
M84,1.35,5.69,11.71
M86,1.19,8.74,22.10
M87,1.56,4.10,8.74
M88,3.53,3.00,2.61
