match_id,stage,group,home_ref,away_ref,kickoff_utc,venue_country
G_A_1,GROUP,A,RUS,KSA,2018-06-14T15:00:00Z,RUS
G_A_2,GROUP,A,EGY,URU,2018-06-15T12:00:00Z,RUS
G_A_3,GROUP,A,RUS,EGY,2018-06-19T18:00:00Z,RUS
G_A_4,GROUP,A,URU,KSA,2018-06-20T15:00:00Z,RUS
G_A_5,GROUP,A,URU,RUS,2018-06-25T14:00:00Z,RUS
G_A_6,GROUP,A,KSA,EGY,2018-06-25T14:00:00Z,RUS
G_B_1,GROUP,B,MAR,IRN,2018-06-15T15:00:00Z,RUS
G_B_2,GROUP,B,POR,ESP,2018-06-15T18:00:00Z,RUS
G_B_3,GROUP,B,POR,MAR,2018-06-20T12:00:00Z,RUS
G_B_4,GROUP,B,IRN,ESP,2018-06-20T18:00:00Z,RUS
G_B_5,GROUP,B,IRN,POR,2018-06-25T18:00:00Z,RUS
G_B_6,GROUP,B,ESP,MAR,2018-06-25T18:00:00Z,RUS
G_C_1,GROUP,C,FRA,AUS,2018-06-16T10:00:00Z,RUS
G_C_2,GROUP,C,PER,DEN,2018-06-16T16:00:00Z,RUS
G_C_3,GROUP,C,DEN,AUS,2018-06-21T12:00:00Z,RUS
G_C_4,GROUP,C,FRA,PER,2018-06-21T15:00:00Z,RUS
G_C_5,GROUP,C,DEN,FRA,2018-06-26T14:00:00Z,RUS
G_C_6,GROUP,C,AUS,PER,2018-06-26T14:00:00Z,RUS
G_D_1,GROUP,D,ARG,ISL,2018-06-16T13:00:00Z,RUS
G_D_2,GROUP,D,CRO,NGA,2018-06-16T19:00:00Z,RUS
G_D_3,GROUP,D,ARG,CRO,2018-06-21T18:00:00Z,RUS
G_D_4,GROUP,D,NGA,ISL,2018-06-22T15:00:00Z,RUS
G_D_5,GROUP,D,NGA,ARG,2018-06-26T18:00:00Z,RUS
G_D_6,GROUP,D,ISL,CRO,2018-06-26T18:00:00Z,RUS
G_E_1,GROUP,E,CRC,SRB,2018-06-17T13:00:00Z,RUS
G_E_2,GROUP,E,BRA,SUI,2018-06-17T19:00:00Z,RUS
G_E_3,GROUP,E,BRA,CRC,2018-06-22T12:00:00Z,RUS
G_E_4,GROUP,E,SRB,SUI,2018-06-22T18:00:00Z,RUS
G_E_5,GROUP,E,SRB,BRA,2018-06-27T18:00:00Z,RUS
G_E_6,GROUP,E,SUI,CRC,2018-06-27T18:00:00Z,RUS
G_F_1,GROUP,F,GER,MEX,2018-06-17T16:00:00Z,RUS
G_F_2,GROUP,F,SWE,KOR,2018-06-18T12:00:00Z,RUS
G_F_3,GROUP,F,KOR,MEX,2018-06-23T15:00:00Z,RUS
G_F_4,GROUP,F,GER,SWE,2018-06-23T18:00:00Z,RUS
G_F_5,GROUP,F,KOR,GER,2018-06-27T14:00:00Z,RUS
G_F_6,GROUP,F,MEX,SWE,2018-06-27T14:00:00Z,RUS
G_G_1,GROUP,G,BEL,PAN,2018-06-18T15:00:00Z,RUS
G_G_2,GROUP,G,TUN,ENG,2018-06-18T18:00:00Z,RUS
G_G_3,GROUP,G,BEL,TUN,2018-06-23T12:00:00Z,RUS
G_G_4,GROUP,G,ENG,PAN,2018-06-24T12:00:00Z,RUS
G_G_5,GROUP,G,ENG,BEL,2018-06-28T18:00:00Z,RUS
G_G_6,GROUP,G,PAN,TUN,2018-06-28T18:00:00Z,RUS
G_H_1,GROUP,H,COL,JPN,2018-06-19T12:00:00Z,RUS
G_H_2,GROUP,H,POL,SEN,2018-06-19T15:00:00Z,RUS
G_H_3,GROUP,H,JPN,SEN,2018-06-24T15:00:00Z,RUS
G_H_4,GROUP,H,POL,COL,2018-06-24T18:00:00Z,RUS
G_H_5,GROUP,H,JPN,POL,2018-06-28T14:00:00Z,RUS
G_H_6,GROUP,H,SEN,COL,2018-06-28T14:00:00Z,RUS
M1,R16,,URU,POR,2018-06-30T15:00:00Z,RUS
M2,R16,,FRA,ARG,2018-06-30T13:00:00Z,RUS
M3,R16,,ESP,RUS,2018-07-01T15:00:00Z,RUS
M4,R16,,CRO,DEN,2018-07-01T18:00:00Z,RUS
M5,R16,,BRA,MEX,2018-07-02T15:00:00Z,RUS
M6,R16,,BEL,JPN,2018-07-02T18:00:00Z,RUS
M7,R16,,SWE,SUI,2018-07-03T15:00:00Z,RUS
M8,R16,,COL,ENG,2018-07-03T18:00:00Z,RUS
M9,QF,,URU,FRA,2018-07-06T14:00:00Z,RUS
M10,QF,,BRA,BEL,2018-07-06T18:00:00Z,RUS
M11,QF,,SWE,ENG,2018-07-07T14:00:00Z,RUS
M12,QF,,RUS,CRO,2018-07-07T18:00:00Z,RUS
M13,SF,,FRA,BEL,2018-07-10T18:00:00Z,RUS
M14,SF,,CRO,ENG,2018-07-11T18:00:00Z,RUS
M15,THIRD_PLACE,,BEL,ENG,2018-07-14T14:00:00Z,RUS
M16,FINAL,,FRA,CRO,2018-07-15T15:00:00Z,RUS
